age,sex_id,region_id,expected_age
47,1,1,80.86517
47,1,2,80.773
47,1,3,80.57722
47,1,4,80.70049
47,1,5,80.41571
48,1,1,80.95731
48,1,2,80.86469
48,1,3,80.67777
48,1,4,80.79821
48,1,5,80.51442
49,1,1,81.05544
49,1,2,80.96346
49,1,3,80.78488
49,1,4,80.9026
49,1,5,80.62256
50,1,1,81.15986
50,1,2,81.06915
50,1,3,80.89828
50,1,4,81.01239
50,1,5,80.7359
51,1,1,81.27103
51,1,2,81.17937
51,1,3,81.01931
51,1,4,81.1296
51,1,5,80.8541
52,1,1,81.38907
52,1,2,81.29832
52,1,3,81.14791
52,1,4,81.25463
52,1,5,80.98462
53,1,1,81.51476
53,1,2,81.42784
53,1,3,81.28342
53,1,4,81.38672
53,1,5,81.11898
54,1,1,81.64887
54,1,2,81.56721
54,1,3,81.4284
54,1,4,81.5278
54,1,5,81.26114
55,1,1,81.79153
55,1,2,81.71527
55,1,3,81.58179
55,1,4,81.67708
55,1,5,81.41576
56,1,1,81.94345
56,1,2,81.8727
56,1,3,81.74521
56,1,4,81.83557
56,1,5,81.57714
57,1,1,82.10532
57,1,2,82.03981
57,1,3,81.9173
57,1,4,82.00432
57,1,5,81.74913
58,1,1,82.27801
58,1,2,82.21717
58,1,3,82.10094
58,1,4,82.18346
58,1,5,81.931
59,1,1,82.46129
59,1,2,82.40576
59,1,3,82.29478
59,1,4,82.37404
59,1,5,82.12482
60,1,1,82.65591
60,1,2,82.60647
60,1,3,82.50092
60,1,4,82.57541
60,1,5,82.32868
61,1,1,82.86218
61,1,2,82.81829
61,1,3,82.71765
61,1,4,82.78886
61,1,5,82.5449
62,1,1,83.08094
62,1,2,83.04235
62,1,3,82.94832
62,1,4,83.0155
62,1,5,82.77327
63,1,1,83.31219
63,1,2,83.27918
63,1,3,83.19004
63,1,4,83.25377
63,1,5,83.01267
64,1,1,83.55675
64,1,2,83.52999
64,1,3,83.44566
64,1,4,83.50575
64,1,5,83.26624
65,1,1,83.81469
65,1,2,83.79364
65,1,3,83.71439
65,1,4,83.77144
65,1,5,83.53828
66,1,1,84.08688
66,1,2,84.07164
66,1,3,83.99801
66,1,4,84.05136
66,1,5,83.82345
67,1,1,84.37384
67,1,2,84.36424
67,1,3,84.29536
67,1,4,84.34608
67,1,5,84.12383
68,1,1,84.67665
68,1,2,84.67226
68,1,3,84.60883
68,1,4,84.65715
68,1,5,84.43879
69,1,1,84.99535
69,1,2,84.99656
69,1,3,84.93581
69,1,4,84.98304
69,1,5,84.76862
70,1,1,85.33045
70,1,2,85.33698
70,1,3,85.28165
70,1,4,85.32485
70,1,5,85.11459
71,1,1,85.68252
71,1,2,85.69411
71,1,3,85.64248
71,1,4,85.68442
71,1,5,85.47632
72,1,1,86.05152
72,1,2,86.06846
72,1,3,86.02196
72,1,4,86.06077
72,1,5,85.85539
73,1,1,86.4375
73,1,2,86.46062
73,1,3,86.41866
73,1,4,86.4543
73,1,5,86.25087
74,1,1,86.84078
74,1,2,86.86942
74,1,3,86.83113
74,1,4,86.86468
74,1,5,86.66087
75,1,1,87.26118
75,1,2,87.29427
75,1,3,87.26236
75,1,4,87.29156
75,1,5,87.08867
76,1,1,87.69884
76,1,2,87.73756
76,1,3,87.70936
76,1,4,87.73673
76,1,5,87.5324
77,1,1,88.15409
77,1,2,88.19796
77,1,3,88.17724
77,1,4,88.19819
77,1,5,87.99431
78,1,1,88.63223
78,1,2,88.67678
78,1,3,88.65914
78,1,4,88.67726
78,1,5,88.47137
79,1,1,89.13073
79,1,2,89.17236
